Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
2,018E+11;0;10;0;0;2;8;19;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;2;7;0;0;0;8;9;A01
2,018E+11;2;7;0;6;0;2;1;A01
2,018E+11;2;33;0;16;0;0;1;A01
2,018E+11;1;7;0;13;0;2;1;A01
2,018E+11;2;7;0;8;0;1;1;A01
2,018E+11;2;7;0;0;2;2;1;B01
2,018E+11;1;7;0;0;2;5;13;A01
2,018E+11;1;7;0;0;2;1;13;A01
2,018E+11;2;7;0;0;2;1;2;B01
2,018E+11;2;7;0;0;2;1;2;A01
2,018E+11;2;2;0;0;0;4;2;B01
2,018E+11;1;7;0;0;2;2;19;A01
2,018E+11;2;30;0;0;2;2;2;B01
2,018E+11;0;7;0;0;2;3;19;A01
2,018E+11;0;31;0;0;2;3;1;B01
2,018E+11;0;7;0;0;0;7;16;B01
2,018E+11;2;7;0;8;2;1;9;A01
2,018E+11;2;7;0;7;0;6;15;B01
2,018E+11;2;7;0;3;2;3;17;A01
2,018E+11;2;7;0;0;1;2;14;A01
2,018E+11;1;7;0;0;2;2;2;A01
2,018E+11;1;14;0;0;0;6;2;B01
2,018E+11;1;33;0;0;2;7;16;B01
2,018E+11;1;7;0;0;2;3;18;A01
2,018E+11;2;7;0;0;2;3;1;B01
2,018E+11;1;7;0;0;2;3;13;A01
2,018E+11;2;7;0;6;0;1;1;A01
2,018E+11;1;33;0;0;2;1;1;A01
2,018E+11;1;7;0;0;2;6;15;B01
2,018E+11;0;7;0;0;2;3;0;B01
2,018E+11;0;7;0;0;2;2;0;A01
2,018E+11;0;7;0;0;2;3;9;A01
2,018E+11;0;7;0;0;2;1;1;B01
2,018E+11;0;7;0;2;0;8;17;A01
2,018E+11;0;10;0;0;2;1;17;A01
2,018E+11;0;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;2;9;A01
2,018E+11;0;7;0;2;0;2;14;A01
2,018E+11;0;7;0;16;0;9;13;A01
2,018E+11;2;7;0;11;0;1;13;A01
2,018E+11;2;7;0;0;2;1;17;A01
2,018E+11;1;7;0;0;2;3;21;B01
2,018E+11;0;7;0;0;2;3;0;B01
2,018E+11;0;33;0;0;2;2;17;A01
2,018E+11;2;7;0;0;0;1;21;B01
2,018E+11;2;7;0;0;0;8;15;A01
2,018E+11;1;30;0;11;0;1;1;A01
2,018E+11;1;2;0;0;2;1;1;A01
2,018E+11;2;7;0;0;2;1;5;B01
2,018E+11;1;7;0;2;9;0;0;A01
2,018E+11;1;7;0;0;1;7;1;A01
2,018E+11;2;7;0;0;1;1;1;A01
2,018E+11;1;7;0;1;0;1;1;A01
2,018E+11;2;7;0;0;2;2;1;A01
2,018E+11;1;1;0;0;2;0;1;B01
